week_start,week_end,keyword,channel,channel_id,matched_videos,views,likeCount,commentCount,subscribers,channel_video_count,engagement
2025-08-15,2025-08-21,bibigo,Aurora Eva,UCjT8yc2tmoLuDGWJVvp3FVg,1,34,0,0,121,288,0
2025-08-15,2025-08-21,bibigo,Choetina,UCJ6Ze1ZDfoKAD0ribxzb-hQ,1,4655,209,17,7580,207,226
2025-08-15,2025-08-21,bibigo,CoruptAI125 ,UCmavWaS6NQqUdvFcWYoplmQ,1,206,6,6,2120,1662,12
2025-08-15,2025-08-21,bibigo,Eva 娃娃,UCr-8WtEnu3j6_JnpN69womA,1,369,2,0,32,51,2
2025-08-15,2025-08-21,bibigo,FactoryZen,UCw6w9rqR3WKcG5HzrjVK5hQ,1,584,13,0,47,111,13
2025-08-15,2025-08-21,bibigo,Freebie Finds PH,UCpmGQ9JXuFC5AkK4CycNDSA,1,1450,5,0,57,83,5
2025-08-15,2025-08-21,bibigo,Jason Scott Montoya,UC2B5m2tVnHFprJjm7akexFg,1,31,2,2,350,790,4
2025-08-15,2025-08-21,bibigo,Mr. Story,UCigit4_aGgsc-oSmhXJLnWg,2,7689,21,6,3100,246,27
2025-08-15,2025-08-21,bibigo,NateVlog,UCZZ7sa4SOvSFZx5Me0qH_5g,1,361,18,14,6230,1178,32
2025-08-15,2025-08-21,bibigo,Poc Udomwit,UCexvcF6hsy4IrBVJR4fzsGw,1,1738,7,0,58,7,7
2025-08-15,2025-08-21,bibigo,Real Korean Life,UC-zTZpYLAkOkKCtALmie8HA,1,832,4,0,7,18,4
2025-08-15,2025-08-21,bibigo,TAKE OUT,UCTykW1w83HtTUHUwJkvHalQ,1,31087,1707,7,1630,16,1714
2025-08-15,2025-08-21,bibigo,The Bites Between,UCNj567IiZyOYuC0dgJdqpFA,1,35,2,0,526,543,2
2025-08-15,2025-08-21,bibigo,bazachi. com,UCpdwlwPn6krS1e9Vr_3np1w,2,18,2,0,520,1725,2
2025-08-15,2025-08-21,bibigo,giathu,UCbnSQBGBxf9nYeESkqKwAog,1,237,1,0,3,3,1
2025-08-15,2025-08-21,bibigo,shalyn,UCEGncTqIVheZWrfjQ6PJlSw,1,689,9,0,45,45,9
