week_start,week_end,keyword,weekly_video_mentions,weekly_views,weekly_likes,weekly_comments,weekly_api_hits,top_channels_week
2025-08-15,2025-08-21,chamisul,1.0,158.0,2.0,0.0,7,지식까마귀
2025-08-15,2025-08-21,buldak,493.0,12199931.0,290564.0,5708.0,506,흥삼이네 Heungsam's Family;문복희 Eat with Boki;떵개떵
2025-08-15,2025-08-21,samyang,279.0,4955709.0,86785.0,2037.0,342,GAMERS BUCIN;Erika Kaa;Eat Sambel
2025-08-15,2025-08-21,shin ramen,46.0,932373.0,10643.0,302.0,294,MARIA OZAWA【Official】;vivivibes;dbest Taste
2025-08-15,2025-08-21,nongshim,68.0,8272457.0,18725.0,285.0,123,LCK Global;VALORANT Champions Tour Pacific;Daily Valorant
2025-08-15,2025-08-21,shin ramyun,89.0,1553711.0,36424.0,1455.0,294,Doobydobap;Mikasa;吃飯兄弟DiningBro
2025-08-15,2025-08-21,chum churum,0.0,0.0,0.0,0.0,0,
2025-08-15,2025-08-21,jin ramen,48.0,125182.0,2244.0,51.0,246,DumDum;I'm Kazakh BTS ARMY ;Catching Seafood
2025-08-15,2025-08-21,pulmuone,4.0,16177.0,606.0,30.0,7,N.E Let's Eat;保健原料專門家-綠茵生技;Daily Fun Life
2025-08-15,2025-08-21,bibigo,21.0,58039.0,2065.0,52.0,35,Choetina;NateVlog;三和交通チャンネル
