week_start,week_end,keyword,channel,channel_id,matched_videos,views,likeCount,commentCount,subscribers,channel_video_count,engagement
2025-08-08,2025-08-14,bibigo,EasyCookingBro,UCi9XYjqtECtfsrU_KbkrDOg,1,2667,9,0,9,5,9
2025-08-08,2025-08-14,bibigo,Gastronusa,UCAm8YLBQTpobyYNFHY_KGNA,1,7523,325,1,101000,1950,326
2025-08-08,2025-08-14,bibigo,Life With Zx4 ,UCiOKa8fhWCZsTCg-AnvW9LA,2,11,0,0,13,33,0
2025-08-08,2025-08-14,bibigo,Michelle Park,UCmpGfX7Ru0TmRyfP1Fjg6WA,1,12024,539,4,159000,256,543
2025-08-08,2025-08-14,bibigo,Mikee Layaoen,UCJoNgfv71SmyPshH5Guss_A,1,15,1,0,127,26,1
2025-08-08,2025-08-14,bibigo,"Ms. Ming, Ph.D.",UCPPip9YaMdIOD_HNBlkKz5g,1,902,64,6,22000,1246,70
2025-08-08,2025-08-14,bibigo,My Time Tunnel,UChZ9jCZHSgs4MeRGet97ATA,2,428,21,4,2060,1481,25
2025-08-08,2025-08-14,bibigo,Quang Anh MC,UCC6ERmA7BAbLXA9Ym4qt70w,1,11,0,0,18,61,0
2025-08-08,2025-08-14,bibigo,Tela Tv,UCdhu3BkL1PegQK6joop3EIg,1,4530,26,9,6290,461,35
2025-08-08,2025-08-14,bibigo,Teresa Campbell,UCxC-nrwW53TZY9lbGbkd7uw,1,141,2,0,72,274,2
2025-08-08,2025-08-14,bibigo,Void Of Intelligence (Void of Intelligence),UCtcLtO_aW1qe8uo-W6XMUrQ,1,13,1,0,800,1483,1
2025-08-08,2025-08-14,bibigo,Zariah,UCu-lHRr4GhVqyiDcizLGJcw,1,15,0,0,279,35,0
2025-08-08,2025-08-14,bibigo,bibigo Vietnam,UCsYxpiplPEXC1QUSajfsk_g,1,531402,5,0,646,26,5
2025-08-08,2025-08-14,bibigo,caratwithjoy,UCu0jNvFjp0oLpEuadd43z8w,1,30,0,0,119,488,0
2025-08-08,2025-08-14,bibigo,cooking on a budget 101,UCINbrpF-0hinKjiOHRuTiaQ,1,26,1,1,25,135,2
2025-08-08,2025-08-14,bibigo,foodspots_bymel,UCC4NoMxp3Hjq22l5zmrLYPA,1,3385,14,1,201,113,15
2025-08-08,2025-08-14,bibigo,ot13forever_svt,UCIEUaXF40maJzrdT4tUMozg,1,418,50,1,391,292,51
2025-08-08,2025-08-14,bibigo,takeonefortheroad,UCSiMBktH-qo16ZltEAFGPBw,1,4947,94,3,1840,527,97
2025-08-08,2025-08-14,bibigo,tandgreat,UCQaYXNcTCwkSgmFWJZaJcoA,1,134,1,0,129,560,1
2025-08-08,2025-08-14,bibigo,週イチコストコ,UCguZl_3d7ANHymUQX1Prn6Q,1,310,3,0,17,10,3
2025-08-08,2025-08-14,bibigo,"그맛이알고싶다 ""Do you wanna try?""",UCXFgOpU9nfx0eomkNB-q7cQ,1,431,3,0,8,55,3
2025-08-08,2025-08-14,bibigo,롱맘마 Rong Mamma,UCya83cEFcR4wnZ8AqULY8TA,1,1790,13,0,66,17,13
2025-08-08,2025-08-14,bibigo,미니,UCiiJKSA4nsCPaA0qQN4KZAg,1,5564,0,0,516,156,0
2025-08-08,2025-08-14,bibigo,콩이는 마당냥이,UCaPFLe1xYANZ9k8J-ITgkqw,1,587,7,0,72,102,7
2025-08-08,2025-08-14,buldak, Nakisha,UC4T77S95wC7Onws7Oc2OMiA,3,3620,56,13,4840,3042,69
2025-08-08,2025-08-14,buldak,60SecEats,UCnPvR6GRckE2iVGXPySmqyg,1,2,1,0,4,11,1
2025-08-08,2025-08-14,buldak,@Blooop,UCVk_LeNfK59kkxNZAa9fjEg,1,1301,14,4,76,62,18
2025-08-08,2025-08-14,buldak,A DAY AT A TIME,UCRCr3CNw6yyLBG6Ip9WXTiw,1,1396,29,1,507,25,30
2025-08-08,2025-08-14,buldak,ACE ASMR,UC7UGmX-dvyHGv9ZuVvA9cXg,1,35009,538,0,44,12,538
2025-08-08,2025-08-14,buldak,AFH & AZA Entertainment ,UCal8rly-14J_7fmzJojY8Jg,1,528,3,3,147,127,6
2025-08-08,2025-08-14,buldak,ARrC (아크),UCOR2B7V72Rip_jBJNTjOlAg,2,3168,438,12,415000,559,450
2025-08-08,2025-08-14,buldak,Aakursha💕,UCN71uMArjFuSJGyY22mjbKg,1,4457,40,5,1320,710,45
2025-08-08,2025-08-14,buldak,Aalias entertainment,UCFxWAkjMmr3uJhwKrhN6C-w,1,2073,34,3,60,26,37
2025-08-08,2025-08-14,buldak,Aaron Yarbrough,UCVLWtYLZKAdcInt3xXw4oVA,2,1388975,66452,1523,217000,140,67975
2025-08-08,2025-08-14,buldak,Abigail Williams,UC_hBaxA7ee7G7sfG5ntV2NA,1,963,8,1,3,9,9
2025-08-08,2025-08-14,buldak,AdamCooks,UCDHKpIk1EAqai1nDrDLY8Dw,1,6044,84,2,318,48,86
2025-08-08,2025-08-14,buldak,Adi Gutierrez,UClq5aDayS3twJqVa2odeENw,1,162407,10016,150,70000,249,10166
2025-08-08,2025-08-14,buldak,Alivia Donai ,UCFLrwzF6qPrj3J3G5c9bmmA,3,4453651,168333,1391,894000,181,169724
2025-08-08,2025-08-14,buldak,AmandaAndGracie,UCOCJTJEIMLjWVbUZkhDjtFQ,1,1290,15,3,26,32,18
2025-08-08,2025-08-14,buldak,Amelia Murphy,UC3dOT5HfzKkqQpY7XNaSxTg,1,1065,7,0,0,1,7
2025-08-08,2025-08-14,buldak,Anna Yonzon,UCqNLYMEYnkH_pbVK8UWQqIA,1,1565,25,0,732,44,25
2025-08-08,2025-08-14,buldak,AppetiteBooster,UCuR3rJdSZQ5SFiPLpwG91MA,2,58458,845,10,975,40,855
2025-08-08,2025-08-14,buldak,Aqueena,UC_16L7IVSjgWRzwXbVxZv1Q,2,50757,1642,26,3630,47,1668
2025-08-08,2025-08-14,buldak,Army,UCblem7RnjbYFGTHjtefjOew,1,29827,720,1,117000,858,721
2025-08-08,2025-08-14,buldak,Ashley,UC19V9P1OMLkAGU_QBelAIaA,1,2939,22,0,78,216,22
2025-08-08,2025-08-14,buldak,Asia Yum,UC8oIaMA7KvWpdOpioU_iP-Q,1,661,6,2,70,48,8
2025-08-08,2025-08-14,buldak,Asmita Rai,UCK5elYiPzRSQB0K_Q1OgqQQ,1,10419,112,1,367,132,113
2025-08-08,2025-08-14,buldak,Aysun Hacılı,UCbj7K2hsBQB0zs1bPXJbQVw,1,3163,94,0,25,20,94
2025-08-08,2025-08-14,buldak,Barely Awake Beauty,UCXfjqMvEtsleVejYNgwIEQQ,1,1681,39,5,21,8,44
2025-08-08,2025-08-14,buldak,Big bites,UClZvuoB50i7qJuO7O3cDGhQ,1,27640,1036,2,11100,282,1038
2025-08-08,2025-08-14,buldak,Blush. Vlogz,UCXmraOwNVY9LfNjLFTLF_uQ,2,3197,0,0,148,165,0
2025-08-08,2025-08-14,buldak,Buldak Official,UCr_12XWor63n79-cbWg-N3Q,3,7329,80,6,346000,449,86
2025-08-08,2025-08-14,buldak,Bussin’ Bites,UCM-GYjVGKnrGemn0oYjk_BA,1,5844,150,7,2860,28,157
2025-08-08,2025-08-14,buldak,CHA CHA,UCsxjJnQES1Eh5V1E4GousJA,1,49304,232,3,451000,381,235
2025-08-08,2025-08-14,buldak,CNURYAGDY,UCO61H-c75agoaAc4WADgAcQ,2,3015276,72139,2489,418000,219,74628
2025-08-08,2025-08-14,buldak,Cambodia food Plus,UCo12k4FdOfFVMYstyLrFpYw,1,41,1,0,692,414,1
2025-08-08,2025-08-14,buldak,Chaneke tragon,UCkcDnxWbUCkOV-5hAaf4oUA,1,15906,337,3,15600,1543,340
2025-08-08,2025-08-14,buldak,Choetina,UCJ6Ze1ZDfoKAD0ribxzb-hQ,1,20319,2224,24,7580,207,2248
2025-08-08,2025-08-14,buldak,Comiendo Soy Feliz,UCSgBVwjnoPI1hF7ea7uxH1g,1,223230,8287,52,9240,240,8339
2025-08-08,2025-08-14,buldak,CookieDo,UCy40k7M0Mt93R_QDMf9jThA,1,21186,731,3,2410,972,734
2025-08-08,2025-08-14,buldak,Cooking,UCkQZNUD3WPaNH1OWju48l_Q,2,1428,15,1,754,38,16
2025-08-08,2025-08-14,buldak,Cooking with Mama,UCJ1DdWjvlXbO69zIKiCHcpg,1,1293,18,0,290,249,18
2025-08-08,2025-08-14,buldak,Cookpreetkaur,UCrHCS11MM8_HqE5WKXmCnvQ,1,9122,69,2,76,27,71
2025-08-08,2025-08-14,buldak,Crave Cozy,UCnBDO76OcMYBud3ghc2jG1Q,1,39406,1334,12,189,38,1346
2025-08-08,2025-08-14,buldak,Crystal,UCbPbRHtH7xjvg4y2j6m0xMA,1,6181,194,4,136,32,198
2025-08-08,2025-08-14,buldak,Cyber Scott,UCNawGPP6mzAdnAqNDZzPrxQ,1,3673,63,2,349,152,65
2025-08-08,2025-08-14,buldak,DANIEL de Corea,UChWlsM-WwHcB-YY_nwVdSuw,1,3024,95,9,46,10,104
2025-08-08,2025-08-14,buldak,DONA ASMR shorts,UColPQr8jYktcZeVReRRPejA,1,5808,51,0,558000,6,51
2025-08-08,2025-08-14,buldak,Deil World,UC5Wl9S-esj7Cb3wi4brpJig,1,31758,806,3,6970,81,809
2025-08-08,2025-08-14,buldak,Delilah's KitchenAlchemy,UCRTiHkncK_hNK0WbryKKgKg,1,7297,200,7,1690,286,207
2025-08-08,2025-08-14,buldak,DumDum,UCuBUWpWfEa4xTce2weqJsBQ,5,20662,497,5,2130,353,502
2025-08-08,2025-08-14,buldak,Dumb Cook Diaries,UCjgFSEnvfAiLFRaapmvN23w,2,69599,1461,4,2950,161,1465
2025-08-08,2025-08-14,buldak,Dungeons and Dragons with Dave,UCImKdzfGeFsnQFkTKuBnlvA,1,598,1,0,843,1663,1
2025-08-08,2025-08-14,buldak,DyMeDasy ,UC1XKV9bAuI1whbZXHslIvhw,1,1865,27,1,3170,77,28
2025-08-08,2025-08-14,buldak,EAT with tike tike💛🍔,UCGfNW-GrhmAnrXPaL__j3BA,1,6575,30,0,150,9,30
2025-08-08,2025-08-14,buldak,EatWithMeLori,UCSu60334wJ8yZlRyd-nljhA,1,17,2,0,8,24,2
2025-08-08,2025-08-14,buldak,Eclipse,UCBz7S21uCOd13wJTSMaOhWA,1,1039,21,0,223,201,21
2025-08-08,2025-08-14,buldak,Eleczandra Saenz ,UC6RPCM9mBnQYQ4qj1DJol-A,1,1163,22,4,49,28,26
2025-08-08,2025-08-14,buldak,Esma Nur Ağaç,UC5asG_tzzLN1vOAy0-2X7dg,1,124908,5456,52,38600,144,5508
2025-08-08,2025-08-14,buldak,Every Thing,UChfYB5LrOoQJh6dRn0_MoIg,1,10,3,0,6,69,3
2025-08-08,2025-08-14,buldak,Everything Era,UC-zf2De3eiaWO3IKBzE9r4A,1,1654,26,5,141,19,31
2025-08-08,2025-08-14,buldak,Ezramazing,UCYn1r5LwUn1gsvgMhIV1EAQ,1,1374,20,2,1030,199,22
2025-08-08,2025-08-14,buldak,Fahmida Creates,UC9o7lisP7ajrgY84ir4Ow1w,1,4393,28,5,56,15,33
2025-08-08,2025-08-14,buldak,FauxFeast,UCtwnY4DLzGCRPge-7iIKHbw,1,152520,1502,453,6060,158,1955
2025-08-08,2025-08-14,buldak,Fida Vlogs🦋,UCMYUxqmkiY_WffTQ7mFCsbw,1,27083,0,10,946,136,10
2025-08-08,2025-08-14,buldak,Fizacooks ,UChVxfOZwlf6Cy7MB_rtMw7g,2,88441,1896,79,1110,64,1975
2025-08-08,2025-08-14,buldak,Food Freak,UC9LUuwouW8TWe2P84q6CTaA,2,67781,700,40,7280,68,740
2025-08-08,2025-08-14,buldak,Foodie cook Nishu,UCffvuc54dtTvkmhrDLIvNyQ,1,1242,14,0,487,455,14
2025-08-08,2025-08-14,buldak,FoodiePiggy,UC29I-hWJ0sQv-AQs9OorbtQ,1,3290,213,2,752,64,215
2025-08-08,2025-08-14,buldak,Foodislove ,UCI37CHBS6XnNiJT7cn6XuFQ,1,1244,25,8,27,6,33
2025-08-08,2025-08-14,buldak,Fun With Zoya,UCfCLTSH4-5AkbC5lacinISA,1,2021,17,10,2070,655,27
2025-08-08,2025-08-14,buldak,Funky Uncle John ,UCKmRt_FVuceyX_DvbX3UV5g,1,849,23,4,3000,1515,27
2025-08-08,2025-08-14,buldak,Gate of Korea,UCxxKkBdywIy0N1VkflhdGrw,1,31446,462,5,623,72,467
2025-08-08,2025-08-14,buldak,Gil Choi,UCkWQ3Zwr6otdFHUuBH9US5g,1,883,11,1,344,100,12
2025-08-08,2025-08-14,buldak,Gina's Cooking Home,UC7Zjhqgjqh6xBFymUdYgFxA,1,12383,426,16,139,10,442
2025-08-08,2025-08-14,buldak,Glimpse By Rabiya,UCKii8mzwguSvJBAHhOSMF9g,1,115,7,4,23,38,11
2025-08-08,2025-08-14,buldak,Gurungne vlog ,UCVUjJvW5uCYZ3h5B2f7Y9BA,1,24,1,0,28,13,1
2025-08-08,2025-08-14,buldak,Hafsa zafar,UC9MPGPKUHhL8Ube4EJprBzQ,1,24,5,0,45,53,5
2025-08-08,2025-08-14,buldak,Hailey Kim,UCHprAdWU4e5MWEZEUlfjxOg,2,462968,10638,158,32900,70,10796
2025-08-08,2025-08-14,buldak,Halima Koroma,UCWBF4_dr_I9TY0dO5Njdafw,1,77,8,4,3480,240,12
2025-08-08,2025-08-14,buldak,Hamster’s Kitchen,UCObyCQi82QHO580G3S6b1MA,1,1774,22,2,14,12,24
2025-08-08,2025-08-14,buldak,Heejao - Snack Review & Food Diary,UCKoP_ijRPHN7UGpSiFXR5PQ,1,11749,145,0,1290,251,145
2025-08-08,2025-08-14,buldak,Hirit couple 히릿커플,UCYUIGnPT-m613dlL1y3Stug,1,6959,123,15,1740,51,138
2025-08-08,2025-08-14,buldak,Hoorlicious👩‍🍳,UCl3phZiPCQV6MtBRdo-BmyQ,1,21626,326,1,67,34,327
2025-08-08,2025-08-14,buldak,ISHmeAgain,UCL8nlCT3YLd3d22yrqF0ALA,1,30,4,0,781,216,4
2025-08-08,2025-08-14,buldak,IamfromKorea,UC7D6l_yvwbmaG_wWnVmKO0A,1,5626271,239569,1486,1640000,972,241055
2025-08-08,2025-08-14,buldak,Ida Halonen Bomban,UCuE8HihCmYJWJgfq92rdXJQ,1,47268,1127,51,12600,225,1178
2025-08-08,2025-08-14,buldak,Im Eating Shhh ,UCeBXTF366DSknlQ1GYhGwBg,1,623,11,2,56,36,13
2025-08-08,2025-08-14,buldak,Improbablyhungryrn,UC90Oqa5cINzZXmmEECEWobw,2,5229,39,6,845,129,45
2025-08-08,2025-08-14,buldak,JOH🧋,UCoodQgNagX6Y_KVL8DwlhUA,1,39218,1008,5,1230000,940,1013
2025-08-08,2025-08-14,buldak,Jazzy_162k,UCsqy9Fu3olMfCAUIsFhBBdg,1,1385,9,2,322,99,11
2025-08-08,2025-08-14,buldak,Jett's Food Trip,UCeIe_Dk7KebdfogstS9JTyg,1,1894,23,2,108000,323,25
2025-08-08,2025-08-14,buldak,Jhing Hamms,UCgLwXbCBOkEuJvb5fNVkfxw,1,658,14,0,46700,931,14
2025-08-08,2025-08-14,buldak,Jings ASMR 징스,UClPfJjQ-Ywc7jaWkjJ86lAQ,2,251178,4984,401,101000,1843,5385
2025-08-08,2025-08-14,buldak,Juri Kharigapsa,UCDEv4pAUjiyS0kqI_DdEO0g,1,34,8,0,95,11,8
2025-08-08,2025-08-14,buldak,Just Kim,UCm2Xapu-_02zFlnxtam6M_A,1,4345,93,6,59,12,99
2025-08-08,2025-08-14,buldak,Just a foodie :),UCXrNc8ckZfEH6pW6b73Nd8Q,1,13179,259,20,8630,104,279
2025-08-08,2025-08-14,buldak,Kaniz & More,UCR4BnCTsvjqwku77cBHa_Qw,1,12,2,0,128,393,2
2025-08-08,2025-08-14,buldak,Khana Pakana Dill Seey,UCdZyIQ7AKgwHb9g9OrP65Nw,2,76760,0,17,32700,730,17
2025-08-08,2025-08-14,buldak,Kim Momina,UC0OTiq1mVnrDiWWKWkvk2AQ,1,112692,0,79,395000,301,79
2025-08-08,2025-08-14,buldak,KoreaSpoon,UCaSWptCcGxdzI_9-Hd0_ntA,1,11723,80,0,673,74,80
2025-08-08,2025-08-14,buldak,Korean Dean’s Days,UCA_FGHjR-nzevU4DljH1wmQ,3,41415,287,11,1230,105,298
2025-08-08,2025-08-14,buldak,Koreanosh,UCfWozMZjapPKZBQ_PnwDocg,1,2300544,55610,720,3220000,684,56330
2025-08-08,2025-08-14,buldak,LENSI LINA,UCJB4PHAJERQmkcXjvRxa4vA,2,4256,34,0,2300,2159,34
2025-08-08,2025-08-14,buldak,LYSM,UChEBdJ9SeiEz0eZE4QhO-tg,1,1147,8,2,169,72,10
2025-08-08,2025-08-14,buldak,Lastochka_food,UCgylds1nTKz_D-g39Luj-Yg,1,221559,4140,40,499000,213,4180
2025-08-08,2025-08-14,buldak,LeiLeiTuesday,UCXzkMlROJUKaOwVn0-Gosqw,1,58,4,0,278,110,4
2025-08-08,2025-08-14,buldak,Leiah,UCXw80TqHpTJJr9RBqSEoEVg,1,2969,456,5,1660,202,461
2025-08-08,2025-08-14,buldak,Life & Lip Gloss ,UCk8kghFfVlS4EFbF5vUhkZA,1,30520,668,10,908,432,678
2025-08-08,2025-08-14,buldak,Linh N.,UCOqIe-XR9vqO5Nma5OulXcA,1,4047,44,1,43,22,45
