week_start,week_end,keyword,weekly_video_mentions,weekly_views,weekly_likes,weekly_comments,weekly_api_hits,top_channels_week,avg_views_per_video,avg_likes_per_video,avg_comments_per_video,as_of_details_fetched_utc
2025-08-01,2025-08-07,bibigo,27.0,117632.0,5204.0,198.0,37,Sporked;KARA CRAIG;FOOD CRAVINGS OFFICIAL,,,,
2025-08-01,2025-08-07,buldak,470.0,33175797.0,737741.0,7469.0,481,쏘영 Ssoyoung;문복희 Eat with Boki;Kim&Liz ASMR,,,,
2025-08-01,2025-08-07,chamisul,1.0,14.0,0.0,0.0,7,Outer Paradise - Topic,,,,
2025-08-01,2025-08-07,chum churum,2.0,450.0,7.0,0.0,2,Chum Churum Official,,,,
2025-08-01,2025-08-07,jin ramen,50.0,163462.0,2099.0,127.0,256,한식클라쓰;Like Korean;BTS the 7 Star,,,,
2025-08-01,2025-08-07,nongshim,89.0,3534862.0,18791.0,309.0,126,LCK Global;Global Esports VALORANT;Rushindra Sinha,,,,
2025-08-01,2025-08-07,pulmuone,3.0,1699.0,9.0,2.0,7,IndieTrader (인디트레이더) HMS;LucyfursCookingAndReviews;my home,,,,
2025-08-01,2025-08-07,samyang,329.0,4862928.0,94415.0,3305.0,430,KeiKei;SAS-ASMR;Mukbang Bersama Bent,,,,
2025-08-01,2025-08-07,shin ramen,46.0,438152.0,6049.0,1031.0,292,wannabechefmatt;Modern Pepper;Paru Rai,,,,
2025-08-01,2025-08-07,shin ramyun,87.0,637082.0,12964.0,919.0,273,파돌이 (PaDol 먹방 ASMR);Sawmtea Tarker Baby;Only kekeㅋㅋㅋ,,,,
2025-08-08,2025-08-14,bibigo,26.0,577304.0,1179.0,30.0,37,"Gastronusa;Ms. Ming, Ph.D.;Michelle Park",,,,
2025-08-08,2025-08-14,buldak,326.0,37781952.0,1250271.0,18181.0,331,Pushpek Sidhu;IamfromKorea;하이푸디 HiFoodie,,,,
2025-08-08,2025-08-14,chamisul,1.0,1589.0,40.0,3.0,3,MeTime,,,,
2025-08-08,2025-08-14,chum churum,3.0,161.0,7.0,6.0,3,Ale Degustation;Ale Degustacja;Chum Churum Official,,,,
2025-08-08,2025-08-14,jin ramen,43.0,120102.0,4657.0,94.0,201,NomBom;BLACKPINK News Facts;EIKEIKEAT,,,,
2025-08-08,2025-08-14,nongshim,77.0,2753784.0,21846.0,388.0,100,LCK Global;N.E Let's Eat;Kaza LoL LCS Highlights,,,,
2025-08-08,2025-08-14,pulmuone,0.0,0.0,0.0,0.0,4,,,,,
