week_start,week_end,keyword,channel,channel_id,matched_videos,views,likeCount,commentCount,subscribers,channel_video_count,engagement,as_of_details_fetched_utc
2025-08-01,2025-08-07,bibigo,Bibigo USA,UCxyNmVDF6KUAwWSKkFP4qaQ,1,1840,149,2,2070,79,151,
2025-08-01,2025-08-07,bibigo,ChaMeed82 Vlogs,UCEBhH8ejjiJiHZYNe_l4ZPw,1,2168,9,3,15200,1538,12,
2025-08-01,2025-08-07,bibigo,Costco Lovers Canada,UCXR23_PW81Pvi5rXo3SMQhQ,1,1066,8,0,716,1403,8,
2025-08-01,2025-08-07,bibigo,FOOD CRAVINGS OFFICIAL,UCML6fhVlFrous3AOeM8VPyQ,1,30730,1557,7,11400,178,1564,
2025-08-01,2025-08-07,bibigo,Food News Italia,UC-oQ8-fUBhOg7FsNMgu-yag,1,1351,20,0,224,95,20,
2025-08-01,2025-08-07,bibigo,HARMONIC_CANVAS,UCub0iUtN86ip3C7Cw4cZfYA,1,556,4,2,40,79,6,
2025-08-01,2025-08-07,bibigo,KARA CRAIG,UCaiXL2dHrB261yRTszBu_Wg,1,14817,1002,37,93800,877,1039,
2025-08-01,2025-08-07,bibigo,Keluarga Diana,UC_SHjD6IMtNRWTlhj6d5liw,1,1093,20,0,18300,753,20,
2025-08-01,2025-08-07,bibigo,Ly Ly,UCDiAa1RyDNLJ7UotpzrVG4Q,1,628,7,0,29,37,7,
2025-08-01,2025-08-07,bibigo,MOONAI ASMR,UC3MsI46egbo7hoa98uwQZ4g,1,905,4,0,158,156,4,
2025-08-01,2025-08-07,bibigo,Natasha Angel 🤍,UCj2yaanh8XFczfRgC2asRhA,1,13859,853,1,21300,404,854,
2025-08-01,2025-08-07,bibigo,Nathaniel Mitchell,UCOZhJtyp1s0CvKKbQnw1mnw,1,393,0,0,87,235,0,
2025-08-01,2025-08-07,bibigo,OhTravelers,UCC-xNxDW40BqU0rmiYAYs5Q,1,1745,24,0,318,72,24,
2025-08-01,2025-08-07,bibigo,One_Bite_Facts,UCuhLCSFNjKxREfvIt6zEXrg,1,1034,5,0,47,100,5,
2025-08-01,2025-08-07,bibigo,Rabina&Manish,UC86L8FN00sozqs39AcXoBMQ,1,1638,16,0,256,210,16,
2025-08-01,2025-08-07,bibigo,Sporked,UCBwdXhwxqb1js0u9KvA-oAw,1,30259,1264,133,99600,902,1397,
2025-08-01,2025-08-07,bibigo,Vanessa Contreras,UCXDJfKykokTowoUpxzxf7Pg,1,2283,12,1,279,502,13,
2025-08-01,2025-08-07,bibigo,Zoey Turner,UCvkDwNIZP1VmkbXbkSnYZZw,1,88,0,0,0,3,0,
2025-08-01,2025-08-07,bibigo,bazachi. com,UCpdwlwPn6krS1e9Vr_3np1w,1,384,1,0,520,1725,1,
2025-08-01,2025-08-07,bibigo,bigpapahannah,UCMDxvZhsgeE5IjeOKBQX5bQ,1,1391,75,5,3130,195,80,
2025-08-01,2025-08-07,bibigo,chansdino.,UCpIRRVpq3hfAOP_vNWpwrJA,1,24,1,0,77,83,1,
2025-08-01,2025-08-07,bibigo,gurlwithluv,UCNoWJVCCu9ZyjHTTDo7V6Dg,1,4498,145,1,8250,546,146,
2025-08-01,2025-08-07,bibigo,jason callan,UCkMXTIdDGurA3Q43muBhvYQ,1,130,4,1,13800,16800,5,
2025-08-01,2025-08-07,bibigo,magikal3star,UCoAbWNl0iYejUikD3dQIW-w,1,1739,8,5,19,18,13,
2025-08-01,2025-08-07,bibigo,my home,UCI5FMMbmCsmhtfciwLl2Eqg,1,10,0,0,1,35,0,
2025-08-01,2025-08-07,bibigo,shalyn,UCEGncTqIVheZWrfjQ6PJlSw,1,1031,14,0,45,45,14,
2025-08-01,2025-08-07,bibigo,왜샀지?,UCH_H1cl90z7rVxFK_uH1bsQ,1,1972,2,0,54,32,2,
