keyword,date,video_mentions,top_channels
jinro,2025-09-03,1,PeterF
jongga,2025-08-28,3,RollinJoint;Nicole Hoang;badabiang rani
jongga,2025-08-29,1,bazachi. com
jongga,2025-08-30,1,Noodle&Cat
jongga,2025-08-31,2,Life_H;권영
jongga,2025-09-01,0,
jongga,2025-09-02,1,Burns Campbell
jongga,2025-09-03,1,Iron wark
kanu coffee,2025-08-28,0,
kanu coffee,2025-08-29,0,
kanu coffee,2025-08-30,0,
kanu coffee,2025-08-31,0,
kanu coffee,2025-09-01,0,
kanu coffee,2025-09-02,1,inyoung.
kanu coffee,2025-09-03,0,
kooksoondang,2025-08-28,0,
kooksoondang,2025-08-29,0,
kooksoondang,2025-08-30,0,
kooksoondang,2025-08-31,0,
kooksoondang,2025-09-01,0,
kooksoondang,2025-09-02,0,
kooksoondang,2025-09-03,0,
kyochon,2025-08-28,2,Sky Jinsei no Tabi;쌍비SSANGBI
kyochon,2025-08-29,1,Kevin Patrick 케빈패트릭
kyochon,2025-08-30,2,GG;Alda Havilah
kyochon,2025-08-31,3,sarah hanifah;HuiRu xue;Felicia Ngadiman
kyochon,2025-09-01,1,Oopsie Poopsie
kyochon,2025-09-02,0,
kyochon,2025-09-03,1,Jonathan
lotte choco pie,2025-08-28,8,MK Experiment ;Aaliya's Vlogs;Aravind Gamer Yt 
lotte choco pie,2025-08-29,5,cookies and crunch;Candy Creations ;Anjali Cooking & Art 
lotte choco pie,2025-08-30,12,Farhan Foodhub 333;Shoaib Lollipops Unboxing ;Life with Saadia
lotte choco pie,2025-08-31,8,Candy Creations ;Lotte India;Tasty food with shova
lotte choco pie,2025-09-01,3,Mohammad ;JAPAN TREATS; arts and cooking
lotte choco pie,2025-09-02,3,viral trending Candy ;Harinder Kaur Ladhar;Nida ki duniya 
lotte choco pie,2025-09-03,3,Vaishali Mistu kitchen;Mohammad ;Sanacker World 
lotte mart,2025-08-28,6,Duong KN Vlogs;LOTTE MART Vietnam;Hệ Thống Xe Máy Hồng Phúc - Thiên Phúc
lotte mart,2025-08-29,5,발리마녀TV balimanyu;Anarchist Cats;Hệ Thống Xe Máy Hồng Phúc - Thiên Phúc
lotte mart,2025-08-30,6,KOKO ASUN 楊 道 純 💎;Nhà Ngon Phan Thiết;Teresiapara
lotte mart,2025-08-31,1,Jess
lotte mart,2025-09-01,9,Nhà Đất Quang Minh Bán Nhà Gò Vấp - Tân Bình.;YesTV;Bali Hints
lotte mart,2025-09-02,8,masterplanfrmn;Andrey Fedorchuk;Chanzharirie Murka
lotte mart,2025-09-03,0,
maxim coffee,2025-08-28,0,
maxim coffee,2025-08-29,0,
maxim coffee,2025-08-30,0,
maxim coffee,2025-08-31,1,Buzzzz shorts
maxim coffee,2025-09-01,0,
maxim coffee,2025-09-02,0,
maxim coffee,2025-09-03,0,
melona,2025-08-28,2,Newborn Monkey 2025;Strahd Creative
melona,2025-08-29,1,Strahd Creative
melona,2025-08-30,5,3C Huang;BICOLANANG ALLEY;SERLUK [НЮ] [НООГФ]
melona,2025-08-31,6,JGS;ChariboPaper;tm34k
melona,2025-09-01,4,Rahul Kamat;ChariboPaper;Yusuf amp 1903
melona,2025-09-02,3,André Santtos Junior ;FutureBot
melona,2025-09-03,0,
milkis,2025-08-28,1,★𝓜𝓲𝓵𝓴𝓲𝓼★
milkis,2025-08-29,1,Energation Getränke aus aller Welt
milkis,2025-08-30,3,Ummati Spread love;ДИЛШОД 21 🥷🏻;Sonavith Media
milkis,2025-08-31,0,
milkis,2025-09-01,3,☆Milkis☆;☆Milkis ☆;chillmart
milkis,2025-09-02,3,ASHKAN SHOW;Карамелька Олівія;★𝓜𝓲𝓵𝓴𝓲𝓼★
milkis,2025-09-03,0,
nasoya,2025-08-28,0,
nasoya,2025-08-29,0,
nasoya,2025-08-30,0,
nasoya,2025-08-31,0,
nasoya,2025-09-01,0,
nasoya,2025-09-02,0,
nasoya,2025-09-03,0,
neoguri,2025-08-28,4,JK Red Family;tastyopen 입맛열기;K Trend Box
neoguri,2025-08-29,1,서수 ASMR SEOSU
neoguri,2025-08-30,2,서수 ASMR SEOSU;Mini 🍀
neoguri,2025-08-31,1,JAMES
neoguri,2025-09-01,4,𝓒𝓸𝓶𝓻𝓪𝓭𝓮 𝓐𝓻𝓲 🇰🇵;คุ้มค่าทุกการใช้จ่ายผ่านร้านค้าออนไลน์;rubineous
neoguri,2025-09-02,3,[Soyoubi] 소유비;푸드가이 Foodguy;Olivia Gali
neoguri,2025-09-03,0,
nongshim,2025-08-28,13,smiling face channel 😊;AdrianWidjy;Vela
nongshim,2025-08-29,10,Challenger LoL Replays & VODS;빵터진 엄마;Loleventvods - LoL Esports: VODs & Montages
nongshim,2025-08-30,6,Immy;Hoa-ASMR;Mahnoor Lifestyle 
nongshim,2025-08-31,11,LCK;NS RedForce;Loleventvods - LoL Esports: VODs & Montages
nongshim,2025-09-01,11,HALL UNIK;คุ้มค่าทุกการใช้จ่ายผ่านร้านค้าออนไลน์;Just sharma things
nongshim,2025-09-02,13,irene kim 김예린;Immy;@el_aprendizz
nongshim,2025-09-03,1,Keshav vlogs
orion choco pie,2025-08-28,2,럭키스코딩 LuckyScoding;Little Candy World 
orion choco pie,2025-08-29,2,Kids Shorts Review;Hà Kiều 
orion choco pie,2025-08-30,0,
orion choco pie,2025-08-31,0,
orion choco pie,2025-09-01,0,
orion choco pie,2025-09-02,0,
orion choco pie,2025-09-03,0,
otoki,2025-08-28,1,Bls_bablu143
otoki,2025-08-29,2,It's Binh (Been) Repaired & Everything Reviewed;It's Binh (Been) Reviewed & More
otoki,2025-08-30,2,ChocoPro wrestling;빵래
otoki,2025-08-31,3,Thomas Ruster;EnjoyWalking;3rd And Pearl
otoki,2025-09-01,2,라면정복자피키(라면 평론가 지영준);Otoki Music 
otoki,2025-09-02,1,김재인
otoki,2025-09-03,0,
ottogi,2025-08-28,3,Sarang_Bap 밥사랑;황루니;Freespirit
ottogi,2025-08-29,1,Appa's Diary
ottogi,2025-08-30,1,오늘라면 Today's Ramyeon
ottogi,2025-08-31,0,
ottogi,2025-09-01,1,황루니
ottogi,2025-09-02,2,Diana Sesarin;EIKEIKEAT
ottogi,2025-09-03,0,
paik's coffee,2025-08-28,0,
paik's coffee,2025-08-29,0,
paik's coffee,2025-08-30,0,
paik's coffee,2025-08-31,0,
paik's coffee,2025-09-01,0,
paik's coffee,2025-09-02,0,
paik's coffee,2025-09-03,0,
pepero,2025-08-28,10,Politikeo UM7BJ;El lado izquierdo España;Arad Asmr
pepero,2025-08-29,14,맛깔스튜디오 by롯데웰푸드;El lado izquierdo España;Meow Skz
pepero,2025-08-30,9,Politikeo UM7BJ;Hyunjin's Universe;Xavigil Film
pepero,2025-08-31,2,CharrieTv;Alaina & Sophia 🎀
pepero,2025-09-01,6,Every day’s a bonus;Julia Montenegro;LDT talks
pepero,2025-09-02,3,Foodbawl;Lu with seven;Mr Boogie
pepero,2025-09-03,1,Munchies Flix
plantspired,2025-08-28,0,
plantspired,2025-08-29,0,
plantspired,2025-08-30,0,
plantspired,2025-08-31,0,
plantspired,2025-09-01,1,HOME GARDEN AND FASHION 
plantspired,2025-09-02,0,
plantspired,2025-09-03,0,
pulmuone,2025-08-28,0,
pulmuone,2025-08-29,0,
pulmuone,2025-08-30,0,
pulmuone,2025-08-31,0,
pulmuone,2025-09-01,0,
pulmuone,2025-09-02,1,KhoiLaa -With me here
pulmuone,2025-09-03,0,
red baron,2025-08-28,19,AKIK BATU PERMATA 4.0;Halika Official;AVigEllie
red baron,2025-08-29,8,Unboxin' Doxin;Bahay Galaga;Aaron's Trendy Eats
red baron,2025-08-30,19,Joey Whispers 1776 ;shela gemstone;RedBaronBandChannel RBB
red baron,2025-08-31,12,Emil Cosman;petak gemstone pacitan;toxicgas77
red baron,2025-09-01,12,History Inside;レッドバロンmovie;ANDIK GEMS PIRUS
red baron,2025-09-02,7,Mark Edwards ;Major Tom;Alice Goss Travel
red baron,2025-09-03,2,FASTFOOD ANT;The Barron Brothers Podcast
samlip,2025-08-28,0,
samlip,2025-08-29,1,C-StoreWorker
samlip,2025-08-30,0,
samlip,2025-08-31,1,C-StoreWorker
samlip,2025-09-01,0,
samlip,2025-09-02,0,
samlip,2025-09-03,1,Woni
samyang,2025-08-28,62,Adi Dharma;Agusrabialdi;Mak mpom
samyang,2025-08-29,62,irene kim 김예린;Famditoca;เปรียวยังไม่เปรี้ยว
samyang,2025-08-30,41,Pak GM;Will n Win TV;Elfie Studios
samyang,2025-08-31,41,Gaby Jovita;Borhanda;Kamboti & Botet
samyang,2025-09-01,46,tanboy kun;Dew ASMR;Hoa-ASMR
samyang,2025-09-02,57,Gaby Jovita;Elfie Studios;Gratisaja TV
samyang,2025-09-03,9,Gratisaja TV;Bang Beni Channel;BALONE BLEDOS
sempio,2025-08-28,4,GOSSIP ITALIA 24;Scopri i segreti dei personaggi famosi;Luca Turla 
sempio,2025-08-29,9,Bugalalla Crime;Il Tempo;Canale 122 Fatti di Nera
sempio,2025-08-30,2,Scopri i segreti dei personaggi famosi;Dentro il Gossip
sempio,2025-08-31,1,Scopri i segreti dei personaggi famosi
sempio,2025-09-01,4,Storie & Cronaca;Sergio Spinnato;IL CANALE DEL LATO OSCURO
sempio,2025-09-02,6,Scopri i segreti dei personaggi famosi;Drama & Scoop;Storie & Cronaca
sempio,2025-09-03,0,
shin ramen,2025-08-28,11,Susan♡;Immy;Lulu
shin ramen,2025-08-29,4,The Drunken Sommelier;기업뉴스TV;Let Pete Cook
shin ramen,2025-08-30,4,Immy;Mahnoor Lifestyle ;KimHyeonSu
shin ramen,2025-08-31,10,it's ssay;KULU Eats;Aishwarya
shin ramen,2025-09-01,9,Munu the explorer 🌸;cookingbylynn;Wana usa aha 
shin ramen,2025-09-02,9,irene kim 김예린;Immy;어벙냠이
shin ramen,2025-09-03,0,
shin ramyun,2025-08-28,17,AdrianWidjy;소소백과;RamenClub
shin ramyun,2025-08-29,14,Koreanet;Anru Zhao;Beta Cooks Mummy Khush 
shin ramyun,2025-08-30,10,Viral-Experiencer;Immy;The HY
shin ramyun,2025-08-31,11,Pokmini;Moja Tasty ASMR;Alicia’s Kitchen家常快手菜
shin ramyun,2025-09-01,14,🌻Sunny's Tube☀️;Evangeline Rhee;Supermercado Otugui
shin ramyun,2025-09-02,14,Immy;@el_aprendizz;황루니
shin ramyun,2025-09-03,0,
soon hari,2025-08-28,0,
